po_id,product_id,supplier_id,order_date,expected_date,actual_date,quantity,unit_cost,lead_time_days
PO00038,PROD015,SUP004,2025-03-10 21:20:48.241206031,2025-03-29 21:20:48.241206031,2025-03-27 21:20:48.241206031,404,15000,17
PO00039,PROD003,SUP002,2025-03-12 15:26:13.869346734,2025-03-23 15:26:13.869346734,2025-03-25 15:26:13.869346734,117,95000,13
PO00040,PROD010,SUP001,2025-03-14 09:31:39.497487438,2025-03-20 09:31:39.497487438,2025-03-20 09:31:39.497487438,232,8500,6
PO00041,PROD011,SUP001,2025-03-16 03:37:05.125628141,2025-03-23 03:37:05.125628141,2025-03-23 03:37:05.125628141,758,3500,7
PO00042,PROD001,SUP005,2025-03-17 21:42:30.753768845,2025-04-03 21:42:30.753768845,2025-04-03 21:42:30.753768845,129,185000,17
PO00043,PROD010,SUP001,2025-03-19 15:47:56.381909548,2025-03-29 15:47:56.381909548,2025-03-29 15:47:56.381909548,155,8500,10
PO00044,PROD016,SUP004,2025-03-21 09:53:22.010050252,2025-04-10 09:53:22.010050252,2025-04-12 09:53:22.010050252,408,24000,22
PO00045,PROD013,SUP001,2025-03-23 03:58:47.638190955,2025-03-27 03:58:47.638190955,2025-03-28 03:58:47.638190955,621,1800,5
PO00046,PROD002,SUP005,2025-03-24 22:04:13.266331659,2025-04-16 22:04:13.266331659,2025-04-13 22:04:13.266331659,581,320000,20
PO00047,PROD011,SUP001,2025-03-26 16:09:38.894472362,2025-03-31 16:09:38.894472362,2025-03-31 16:09:38.894472362,902,3500,5
PO00048,PROD002,SUP005,2025-03-28 10:15:04.522613066,2025-04-15 10:15:04.522613066,2025-04-15 10:15:04.522613066,153,320000,18
PO00049,PROD015,SUP004,2025-03-30 04:20:30.150753770,2025-04-17 04:20:30.150753770,2025-04-17 04:20:30.150753770,537,15000,18
PO00050,PROD016,SUP004,2025-03-31 22:25:55.778894473,2025-04-22 22:25:55.778894473,2025-04-22 22:25:55.778894473,729,24000,22
PO00051,PROD002,SUP005,2025-04-02 16:31:21.407035177,2025-04-18 16:31:21.407035177,2025-04-19 16:31:21.407035177,375,320000,17
PO00052,PROD007,SUP003,2025-04-04 10:36:47.035175880,2025-04-13 10:36:47.035175880,2025-04-12 10:36:47.035175880,151,35000,8
PO00053,PROD001,SUP005,2025-04-06 04:42:12.663316584,2025-04-20 04:42:12.663316584,2025-04-20 04:42:12.663316584,296,185000,14
PO00054,PROD004,SUP002,2025-04-07 22:47:38.291457287,2025-04-20 22:47:38.291457287,2025-04-20 22:47:38.291457287,478,42000,13
PO00055,PROD005,SUP003,2025-04-09 16:53:03.919597991,2025-04-17 16:53:03.919597991,2025-04-16 16:53:03.919597991,867,28000,7
PO00056,PROD006,SUP003,2025-04-11 10:58:29.547738694,2025-04-22 10:58:29.547738694,2025-04-22 10:58:29.547738694,880,125000,11
PO00057,PROD004,SUP002,2025-04-13 05:03:55.175879398,2025-04-26 05:03:55.175879398,2025-04-24 05:03:55.175879398,915,42000,11
PO00058,PROD017,SUP003,2025-04-14 23:09:20.804020101,2025-04-23 23:09:20.804020101,2025-04-24 23:09:20.804020101,859,9500,10
PO00059,PROD003,SUP002,2025-04-16 17:14:46.432160805,2025-04-28 17:14:46.432160805,2025-04-28 17:14:46.432160805,914,95000,12
PO00060,PROD015,SUP004,2025-04-18 11:20:12.060301508,2025-05-12 11:20:12.060301508,2025-05-12 11:20:12.060301508,462,15000,24
PO00061,PROD007,SUP003,2025-04-20 05:25:37.688442212,2025-05-01 05:25:37.688442212,2025-05-01 05:25:37.688442212,970,35000,11
PO00062,PROD013,SUP001,2025-04-21 23:31:03.316582916,2025-04-28 23:31:03.316582916,2025-05-01 23:31:03.316582916,444,1800,10
PO00063,PROD016,SUP004,2025-04-23 17:36:28.944723618,2025-05-11 17:36:28.944723618,2025-05-11 17:36:28.944723618,671,24000,18
PO00064,PROD010,SUP001,2025-04-25 11:41:54.572864322,2025-05-04 11:41:54.572864322,2025-05-03 11:41:54.572864322,867,8500,8
PO00065,PROD011,SUP001,2025-04-27 05:47:20.201005026,2025-05-02 05:47:20.201005026,2025-05-02 05:47:20.201005026,229,3500,5
PO00066,PROD002,SUP005,2025-04-28 23:52:45.829145730,2025-05-15 23:52:45.829145730,2025-05-15 23:52:45.829145730,565,320000,17
PO00067,PROD009,SUP004,2025-04-30 17:58:11.457286434,2025-05-20 17:58:11.457286434,2025-05-23 17:58:11.457286434,686,12000,23
PO00068,PROD017,SUP003,2025-05-02 12:03:37.085427136,2025-05-14 12:03:37.085427136,2025-05-14 12:03:37.085427136,915,9500,12
PO00069,PROD015,SUP004,2025-05-04 06:09:02.713567840,2025-05-25 06:09:02.713567840,2025-05-24 06:09:02.713567840,223,15000,20
PO00070,PROD007,SUP003,2025-05-06 00:14:28.341708544,2025-05-11 00:14:28.341708544,2025-05-10 00:14:28.341708544,880,35000,4
PO00071,PROD005,SUP003,2025-05-07 18:19:53.969849248,2025-05-22 18:19:53.969849248,2025-05-24 18:19:53.969849248,264,28000,17
PO00072,PROD013,SUP001,2025-05-09 12:25:19.597989950,2025-05-14 12:25:19.597989950,2025-05-14 12:25:19.597989950,231,1800,5
PO00073,PROD003,SUP002,2025-05-11 06:30:45.226130654,2025-05-24 06:30:45.226130654,2025-05-29 06:30:45.226130654,705,95000,18
PO00074,PROD001,SUP005,2025-05-13 00:36:10.854271358,2025-05-28 00:36:10.854271358,2025-05-28 00:36:10.854271358,582,185000,15
PO00075,PROD019,SUP005,2025-05-14 18:41:36.482412062,2025-05-30 18:41:36.482412062,2025-05-30 18:41:36.482412062,904,145000,16
PO00076,PROD012,SUP001,2025-05-16 12:47:02.110552764,2025-05-24 12:47:02.110552764,2025-05-24 12:47:02.110552764,544,22000,8
PO00077,PROD015,SUP004,2025-05-18 06:52:27.738693468,2025-06-04 06:52:27.738693468,2025-06-06 06:52:27.738693468,497,15000,19
PO00078,PROD020,SUP005,2025-05-20 00:57:53.366834172,2025-06-08 00:57:53.366834172,2025-06-08 00:57:53.366834172,698,75000,19
PO00079,PROD007,SUP003,2025-05-21 19:03:18.994974876,2025-05-30 19:03:18.994974876,2025-05-30 19:03:18.994974876,248,35000,9
PO00080,PROD018,SUP003,2025-05-23 13:08:44.623115578,2025-06-02 13:08:44.623115578,2025-06-03 13:08:44.623115578,356,28000,11
PO00081,PROD008,SUP003,2025-05-25 07:14:10.251256282,2025-06-05 07:14:10.251256282,2025-06-05 07:14:10.251256282,425,18000,11
PO00082,PROD008,SUP003,2025-05-27 01:19:35.879396986,2025-06-08 01:19:35.879396986,2025-06-11 01:19:35.879396986,634,18000,15
PO00083,PROD014,SUP001,2025-05-28 19:25:01.507537690,2025-06-03 19:25:01.507537690,2025-06-03 19:25:01.507537690,919,2500,6
PO00084,PROD007,SUP003,2025-05-30 13:30:27.135678394,2025-06-10 13:30:27.135678394,2025-06-10 13:30:27.135678394,967,35000,11
PO00085,PROD010,SUP001,2025-06-01 07:35:52.763819096,2025-06-04 07:35:52.763819096,2025-06-04 07:35:52.763819096,162,8500,3
PO00086,PROD015,SUP004,2025-06-03 01:41:18.391959800,2025-06-24 01:41:18.391959800,2025-06-27 01:41:18.391959800,443,15000,24
PO00087,PROD003,SUP002,2025-06-04 19:46:44.020100504,2025-06-19 19:46:44.020100504,2025-06-16 19:46:44.020100504,452,95000,12
PO00088,PROD007,SUP003,2025-06-06 13:52:09.648241208,2025-06-15 13:52:09.648241208,2025-06-17 13:52:09.648241208,491,35000,11
PO00089,PROD004,SUP002,2025-06-08 07:57:35.276381910,2025-06-22 07:57:35.276381910,2025-06-23 07:57:35.276381910,283,42000,15
PO00090,PROD013,SUP001,2025-06-10 02:03:00.904522614,2025-06-18 02:03:00.904522614,2025-06-18 02:03:00.904522614,777,1800,8
PO00091,PROD012,SUP001,2025-06-11 20:08:26.532663318,2025-06-17 20:08:26.532663318,2025-06-17 20:08:26.532663318,479,22000,6
PO00092,PROD006,SUP003,2025-06-13 14:13:52.160804022,2025-06-22 14:13:52.160804022,2025-06-25 14:13:52.160804022,802,125000,12
PO00093,PROD009,SUP004,2025-06-15 08:19:17.788944724,2025-07-03 08:19:17.788944724,2025-07-03 08:19:17.788944724,425,12000,18
PO00094,PROD005,SUP003,2025-06-17 02:24:43.417085428,2025-06-30 02:24:43.417085428,2025-06-30 02:24:43.417085428,517,28000,13
PO00095,PROD013,SUP001,2025-06-18 20:30:09.045226132,2025-06-23 20:30:09.045226132,2025-06-23 20:30:09.045226132,955,1800,5
PO00096,PROD001,SUP005,2025-06-20 14:35:34.673366836,2025-07-10 14:35:34.673366836,2025-07-12 14:35:34.673366836,452,185000,22
PO00097,PROD002,SUP005,2025-06-22 08:41:00.301507540,2025-07-08 08:41:00.301507540,2025-07-08 08:41:00.301507540,171,320000,16
PO00098,PROD009,SUP004,2025-06-24 02:46:25.929648242,2025-07-13 02:46:25.929648242,2025-07-12 02:46:25.929648242,455,12000,18
PO00099,PROD012,SUP001,2025-06-25 20:51:51.557788946,2025-07-01 20:51:51.557788946,2025-07-01 20:51:51.557788946,360,22000,6
PO00100,PROD018,SUP003,2025-06-27 14:57:17.185929650,2025-07-07 14:57:17.185929650,2025-07-07 14:57:17.185929650,951,28000,10
PO00101,PROD004,SUP002,2025-06-29 09:02:42.814070354,2025-07-11 09:02:42.814070354,2025-07-12 09:02:42.814070354,999,42000,13
PO00102,PROD002,SUP005,2025-07-01 03:08:08.442211056,2025-07-16 03:08:08.442211056,2025-07-16 03:08:08.442211056,220,320000,15
PO00103,PROD019,SUP005,2025-07-02 21:13:34.070351760,2025-07-19 21:13:34.070351760,2025-07-19 21:13:34.070351760,247,145000,17
PO00104,PROD020,SUP005,2025-07-04 15:18:59.698492464,2025-07-21 15:18:59.698492464,2025-07-24 15:18:59.698492464,124,75000,20
PO00105,PROD003,SUP002,2025-07-06 09:24:25.326633168,2025-07-16 09:24:25.326633168,2025-07-13 09:24:25.326633168,809,95000,7
PO00106,PROD013,SUP001,2025-07-08 03:29:50.954773870,2025-07-15 03:29:50.954773870,2025-07-17 03:29:50.954773870,931,1800,9
PO00107,PROD014,SUP001,2025-07-09 21:35:16.582914574,2025-07-17 21:35:16.582914574,2025-07-17 21:35:16.582914574,648,2500,8
PO00108,PROD008,SUP003,2025-07-11 15:40:42.211055278,2025-07-21 15:40:42.211055278,2025-07-21 15:40:42.211055278,468,18000,10
PO00109,PROD013,SUP001,2025-07-13 09:46:07.839195982,2025-07-21 09:46:07.839195982,2025-07-21 09:46:07.839195982,910,1800,8
PO00110,PROD005,SUP003,2025-07-15 03:51:33.467336684,2025-07-27 03:51:33.467336684,2025-07-30 03:51:33.467336684,934,28000,15
PO00111,PROD004,SUP002,2025-07-16 21:56:59.095477388,2025-07-26 21:56:59.095477388,2025-07-31 21:56:59.095477388,677,42000,15
PO00112,PROD003,SUP002,2025-07-18 16:02:24.723618092,2025-08-04 16:02:24.723618092,2025-08-04 16:02:24.723618092,748,95000,17
PO00113,PROD015,SUP004,2025-07-20 10:07:50.351758796,2025-08-10 10:07:50.351758796,2025-08-10 10:07:50.351758796,917,15000,21
PO00114,PROD008,SUP003,2025-07-22 04:13:15.979899500,2025-08-05 04:13:15.979899500,2025-08-05 04:13:15.979899500,207,18000,14
PO00115,PROD015,SUP004,2025-07-23 22:18:41.608040202,2025-08-13 22:18:41.608040202,2025-08-18 22:18:41.608040202,515,15000,26
PO00116,PROD017,SUP003,2025-07-25 16:24:07.236180906,2025-08-05 16:24:07.236180906,2025-08-06 16:24:07.236180906,443,9500,12
PO00117,PROD013,SUP001,2025-07-27 10:29:32.864321610,2025-07-30 10:29:32.864321610,2025-07-27 10:29:32.864321610,601,1800,0
PO00118,PROD007,SUP003,2025-07-29 04:34:58.492462314,2025-08-07 04:34:58.492462314,2025-08-07 04:34:58.492462314,399,35000,9
PO00119,PROD006,SUP003,2025-07-30 22:40:24.120603016,2025-08-12 22:40:24.120603016,2025-08-12 22:40:24.120603016,345,125000,13
PO00120,PROD019,SUP005,2025-08-01 16:45:49.748743720,2025-08-15 16:45:49.748743720,2025-08-15 16:45:49.748743720,103,145000,14
PO00121,PROD012,SUP001,2025-08-03 10:51:15.376884424,2025-08-09 10:51:15.376884424,2025-08-08 10:51:15.376884424,823,22000,5
PO00122,PROD014,SUP001,2025-08-05 04:56:41.005025128,2025-08-09 04:56:41.005025128,2025-08-09 04:56:41.005025128,516,2500,4
PO00123,PROD015,SUP004,2025-08-06 23:02:06.633165832,2025-08-28 23:02:06.633165832,2025-08-29 23:02:06.633165832,554,15000,23
PO00124,PROD013,SUP001,2025-08-08 17:07:32.261306536,2025-08-11 17:07:32.261306536,2025-08-13 17:07:32.261306536,590,1800,5
PO00125,PROD010,SUP001,2025-08-10 11:12:57.889447236,2025-08-19 11:12:57.889447236,2025-08-19 11:12:57.889447236,192,8500,9
PO00126,PROD014,SUP001,2025-08-12 05:18:23.517587940,2025-08-17 05:18:23.517587940,2025-08-17 05:18:23.517587940,676,2500,5
PO00127,PROD007,SUP003,2025-08-13 23:23:49.145728644,2025-08-23 23:23:49.145728644,2025-08-23 23:23:49.145728644,391,35000,10
PO00128,PROD004,SUP002,2025-08-15 17:29:14.773869348,2025-08-30 17:29:14.773869348,2025-08-30 17:29:14.773869348,314,42000,15
PO00129,PROD005,SUP003,2025-08-17 11:34:40.402010052,2025-08-27 11:34:40.402010052,2025-08-29 11:34:40.402010052,998,28000,12
PO00130,PROD005,SUP003,2025-08-19 05:40:06.030150756,2025-08-28 05:40:06.030150756,2025-08-28 05:40:06.030150756,604,28000,9
PO00131,PROD015,SUP004,2025-08-20 23:45:31.658291460,2025-09-09 23:45:31.658291460,2025-09-09 23:45:31.658291460,478,15000,20
PO00132,PROD015,SUP004,2025-08-22 17:50:57.286432164,2025-09-14 17:50:57.286432164,2025-09-14 17:50:57.286432164,898,15000,23
PO00133,PROD011,SUP001,2025-08-24 11:56:22.914572868,2025-09-03 11:56:22.914572868,2025-09-03 11:56:22.914572868,893,3500,10
PO00134,PROD018,SUP003,2025-08-26 06:01:48.542713568,2025-09-05 06:01:48.542713568,2025-09-05 06:01:48.542713568,373,28000,10
PO00135,PROD019,SUP005,2025-08-28 00:07:14.170854272,2025-09-12 00:07:14.170854272,2025-09-12 00:07:14.170854272,686,145000,15
PO00136,PROD018,SUP003,2025-08-29 18:12:39.798994976,2025-09-09 18:12:39.798994976,2025-09-09 18:12:39.798994976,454,28000,11
PO00137,PROD003,SUP002,2025-08-31 12:18:05.427135680,2025-09-11 12:18:05.427135680,2025-09-14 12:18:05.427135680,220,95000,14
PO00138,PROD007,SUP003,2025-09-02 06:23:31.055276384,2025-09-09 06:23:31.055276384,2025-09-09 06:23:31.055276384,980,35000,7
PO00139,PROD014,SUP001,2025-09-04 00:28:56.683417088,2025-09-13 00:28:56.683417088,2025-09-13 00:28:56.683417088,694,2500,9
PO00140,PROD015,SUP004,2025-09-05 18:34:22.311557792,2025-09-22 18:34:22.311557792,2025-09-22 18:34:22.311557792,445,15000,17
PO00141,PROD017,SUP003,2025-09-07 12:39:47.939698496,2025-09-19 12:39:47.939698496,2025-09-19 12:39:47.939698496,514,9500,12
PO00142,PROD001,SUP005,2025-09-09 06:45:13.567839196,2025-09-29 06:45:13.567839196,2025-09-29 06:45:13.567839196,321,185000,20
PO00143,PROD012,SUP001,2025-09-11 00:50:39.195979900,2025-09-18 00:50:39.195979900,2025-09-16 00:50:39.195979900,117,22000,5
PO00144,PROD020,SUP005,2025-09-12 18:56:04.824120604,2025-09-29 18:56:04.824120604,2025-09-30 18:56:04.824120604,393,75000,18
PO00145,PROD007,SUP003,2025-09-14 13:01:30.452261308,2025-09-24 13:01:30.452261308,2025-09-24 13:01:30.452261308,749,35000,10
PO00146,PROD020,SUP005,2025-09-16 07:06:56.080402012,2025-10-02 07:06:56.080402012,2025-10-02 07:06:56.080402012,533,75000,16
PO00147,PROD002,SUP005,2025-09-18 01:12:21.708542716,2025-10-06 01:12:21.708542716,2025-10-08 01:12:21.708542716,811,320000,20
PO00148,PROD017,SUP003,2025-09-19 19:17:47.336683420,2025-09-29 19:17:47.336683420,2025-10-01 19:17:47.336683420,386,9500,12
PO00149,PROD014,SUP001,2025-09-21 13:23:12.964824124,2025-09-29 13:23:12.964824124,2025-10-04 13:23:12.964824124,960,2500,13
PO00150,PROD003,SUP002,2025-09-23 07:28:38.592964828,2025-10-07 07:28:38.592964828,2025-10-07 07:28:38.592964828,989,95000,14
PO00151,PROD004,SUP002,2025-09-25 01:34:04.221105528,2025-10-09 01:34:04.221105528,2025-10-12 01:34:04.221105528,496,42000,17
PO00152,PROD004,SUP002,2025-09-26 19:39:29.849246232,2025-10-11 19:39:29.849246232,2025-10-16 19:39:29.849246232,382,42000,20
PO00153,PROD017,SUP003,2025-09-28 13:44:55.477386936,2025-10-05 13:44:55.477386936,2025-10-07 13:44:55.477386936,984,9500,9
PO00154,PROD017,SUP003,2025-09-30 07:50:21.105527640,2025-10-06 07:50:21.105527640,2025-10-06 07:50:21.105527640,871,9500,6
PO00155,PROD008,SUP003,2025-10-02 01:55:46.733668344,2025-10-13 01:55:46.733668344,2025-10-13 01:55:46.733668344,725,18000,11
PO00156,PROD015,SUP004,2025-10-03 20:01:12.361809048,2025-10-21 20:01:12.361809048,2025-10-23 20:01:12.361809048,294,15000,20
PO00157,PROD020,SUP005,2025-10-05 14:06:37.989949752,2025-10-21 14:06:37.989949752,2025-10-21 14:06:37.989949752,159,75000,16
PO00158,PROD002,SUP005,2025-10-07 08:12:03.618090456,2025-10-27 08:12:03.618090456,2025-10-28 08:12:03.618090456,597,320000,21
PO00159,PROD010,SUP001,2025-10-09 02:17:29.246231156,2025-10-14 02:17:29.246231156,2025-10-14 02:17:29.246231156,480,8500,5
PO00160,PROD011,SUP001,2025-10-10 20:22:54.874371860,2025-10-19 20:22:54.874371860,2025-10-19 20:22:54.874371860,402,3500,9
PO00161,PROD006,SUP003,2025-10-12 14:28:20.502512564,2025-10-21 14:28:20.502512564,2025-10-21 14:28:20.502512564,898,125000,9
PO00162,PROD016,SUP004,2025-10-14 08:33:46.130653268,2025-11-04 08:33:46.130653268,2025-11-03 08:33:46.130653268,286,24000,20
PO00163,PROD017,SUP003,2025-10-16 02:39:11.758793972,2025-10-22 02:39:11.758793972,2025-10-27 02:39:11.758793972,477,9500,11
PO00164,PROD015,SUP004,2025-10-17 20:44:37.386934676,2025-11-07 20:44:37.386934676,2025-11-12 20:44:37.386934676,680,15000,26
PO00165,PROD011,SUP001,2025-10-19 14:50:03.015075380,2025-10-24 14:50:03.015075380,2025-10-24 14:50:03.015075380,507,3500,5
PO00166,PROD008,SUP003,2025-10-21 08:55:28.643216084,2025-10-30 08:55:28.643216084,2025-10-30 08:55:28.643216084,473,18000,9
PO00167,PROD015,SUP004,2025-10-23 03:00:54.271356788,2025-11-10 03:00:54.271356788,2025-11-10 03:00:54.271356788,877,15000,18
PO00168,PROD019,SUP005,2025-10-24 21:06:19.899497488,2025-11-12 21:06:19.899497488,2025-11-12 21:06:19.899497488,292,145000,19
PO00169,PROD011,SUP001,2025-10-26 15:11:45.527638192,2025-11-03 15:11:45.527638192,2025-11-04 15:11:45.527638192,401,3500,9
PO00170,PROD014,SUP001,2025-10-28 09:17:11.155778896,2025-11-01 09:17:11.155778896,2025-11-04 09:17:11.155778896,748,2500,7
PO00171,PROD007,SUP003,2025-10-30 03:22:36.783919600,2025-11-11 03:22:36.783919600,2025-11-16 03:22:36.783919600,371,35000,17
PO00172,PROD006,SUP003,2025-10-31 21:28:02.412060304,2025-11-12 21:28:02.412060304,2025-11-12 21:28:02.412060304,127,125000,12
PO00173,PROD017,SUP003,2025-11-02 15:33:28.040201008,2025-11-14 15:33:28.040201008,2025-11-16 15:33:28.040201008,752,9500,14
PO00174,PROD016,SUP004,2025-11-04 09:38:53.668341712,2025-11-26 09:38:53.668341712,2025-11-26 09:38:53.668341712,409,24000,22
PO00175,PROD005,SUP003,2025-11-06 03:44:19.296482416,2025-11-15 03:44:19.296482416,2025-11-16 03:44:19.296482416,289,28000,10
PO00176,PROD002,SUP005,2025-11-07 21:49:44.924623116,2025-11-21 21:49:44.924623116,2025-11-21 21:49:44.924623116,535,320000,14
PO00177,PROD019,SUP005,2025-11-09 15:55:10.552763820,2025-11-22 15:55:10.552763820,2025-11-22 15:55:10.552763820,951,145000,13
PO00178,PROD007,SUP003,2025-11-11 10:00:36.180904524,2025-11-23 10:00:36.180904524,2025-11-23 10:00:36.180904524,650,35000,12
PO00179,PROD002,SUP005,2025-11-13 04:06:01.809045228,2025-11-29 04:06:01.809045228,2025-11-29 04:06:01.809045228,529,320000,16
PO00180,PROD010,SUP001,2025-11-14 22:11:27.437185932,2025-11-17 22:11:27.437185932,2025-11-17 22:11:27.437185932,504,8500,3
PO00181,PROD014,SUP001,2025-11-16 16:16:53.065326636,2025-11-20 16:16:53.065326636,2025-11-20 16:16:53.065326636,735,2500,4
PO00182,PROD005,SUP003,2025-11-18 10:22:18.693467340,2025-11-27 10:22:18.693467340,2025-11-25 10:22:18.693467340,146,28000,7
PO00183,PROD012,SUP001,2025-11-20 04:27:44.321608044,2025-12-01 04:27:44.321608044,2025-12-01 04:27:44.321608044,718,22000,11
PO00184,PROD008,SUP003,2025-11-21 22:33:09.949748748,2025-12-02 22:33:09.949748748,2025-12-09 22:33:09.949748748,152,18000,18
PO00185,PROD016,SUP004,2025-11-23 16:38:35.577889448,2025-12-13 16:38:35.577889448,2025-12-13 16:38:35.577889448,321,24000,20
PO00186,PROD003,SUP002,2025-11-25 10:44:01.206030152,2025-12-09 10:44:01.206030152,2025-12-09 10:44:01.206030152,653,95000,14
PO00187,PROD020,SUP005,2025-11-27 04:49:26.834170856,2025-12-15 04:49:26.834170856,2025-12-13 04:49:26.834170856,203,75000,16
PO00188,PROD006,SUP003,2025-11-28 22:54:52.462311560,2025-12-08 22:54:52.462311560,2025-12-15 22:54:52.462311560,453,125000,17
PO00189,PROD006,SUP003,2025-11-30 17:00:18.090452264,2025-12-10 17:00:18.090452264,2025-12-10 17:00:18.090452264,175,125000,10
PO00190,PROD003,SUP002,2025-12-02 11:05:43.718592968,2025-12-15 11:05:43.718592968,2025-12-20 11:05:43.718592968,402,95000,18
